text,label
"Pouvez-vous me dire comment dire «je ne parle pas beaucoup espagnol», en espagnol",translate
Dites-moi comment dire: «C'est une belle matinée» en italien,translate
"Si j'étais japonais, comment dirais-je que je suis touriste",translate
Comment dire «hôtel» en finnois,translate
"J'ai besoin que vous traduisiez la phrase, «nous y serons bientôt» en portugais",translate
Veuillez me dire comment demander un taxi en français,translate
Comment dire bonjour en anglais,translate
Traduisez-moi le mot français en néerlandais,translate
Est-il possible de m'indiquer comment dire "restaurant" en hebreu,translate
Je souhaite avoir la traduction de "salade" en arabe,translate
J'ai besoin de savoir comment dire dormir en anglais,translate
Donnez-moi la traduction de "le service était bon" en russe,translate
Comment un espagnol dirait-il "allons au cinéma ce soir",translate
Je veux savoir comment on dit "magique" en allemand,translate
J'ai envie de traduire "bonheur" en hindi,translate
La Corée du Nord a-t-elle des alertes de voyage que je devrais être conscientes,travel_alert
Y a-t-il des alertes de voyage pour la Syrie,travel_alert
Y a-t-il une alerte de voyage pour la Russie,travel_alert
Est-il sûr de se rendre en Islande,travel_alert
Parlez-moi des alertes de voyage émises pour l'Allemagne,travel_alert
J'aimerais savoir s'il y a une alerte de voyage pour l'Italie,travel_alert
Est-ce qu'il y a une alerte de voyage pour le Royaume-Uni,travel_alert
Portez à ma connaissance s'il y a des alertes de voyage concernant le Qatar,travel_alert
Est-ce sans danger de se déplacer en Chine,travel_alert
Je voudrais être informé des alertes de voyage pour le Pakistan,travel_alert
Y a-t-il une alerte de voyage pour les Etats-Unis,travel_alert
Est-ce qu'il est dangereux de voyager vers l'Ukraine,travel_alert
"J'ai envie de voyager vers l'Australie, y a-t-il une alerte de voyage",travel_alert
Je veux être sûr qu'il n'y a pas d'alerte de voyage pour mon vol vers l'Autriche,travel_alert
Indiquez-moi s'il y a une alerte de voyage pour le Canada,travel_alert
Y a-t-il des nouvelles sur le vol DL123,flight_status
Quand allons-nous commencer à monter à bord de mon vol prévu,flight_status
Quand mon vol décollera-t-il,flight_status
Quand mon vol atterrira-t-il,flight_status
quelle est la porte d'embarquement pour mon vol AF847,flight_status
Quand vais-je arriver à destination,flight_status
J'aimerais savoir l'heure d'arrivée de mon vol,flight_status
Indiquez-moi la porte d'embarquement pour mon vol BC309,flight_status
Quand embarque le vol DF201,flight_status
Je veux l'heure de départ de mon vol,flight_status
Mon vol est-il maintenu,flight_status
Est-il possible de me donner quand le vol AC902 décolle,flight_status
Je souhaiterais avoir la porte d'embarquement de mon vol,flight_status
Quand est-ce que mon avion arrive,flight_status
"Je veux savoir quand si le vol prévu le 26 juin à 9h en direction de l'Australie est maintenu",flight_status
Localiser les bagages perdus de Flight America Airlines à O'Hare,lost_luggage
Perte des bagages sur Flight America Airlines à O'Hare,lost_luggage
Je pense que mes bagages ont été perdus,lost_luggage
"Mes bagages sont manquants, j'étais sur le vol Frontier AB123 depuis Seattle",lost_luggage
"Aide, j'ai perdu mes bagages",lost_luggage
Savez-vous qui je devrais contacter car mes valises ne sont pas arrivées,lost_luggage
À qui dois-je me plaindre que mes bagages n'arrivent pas à l'aéroport,lost_luggage
"Je ne trouve pas mes bagages, je les ai perdus",lost_luggage
"Mes bagages sont introuvables à l'aéroport, où dois-je aller",lost_luggage
Où devrais-je me rendre en cas de bagages perdus,lost_luggage
